,age,maxAlpha_freq_PO,maxAlpha_power_PO,maxBeta_freq_PO,maxBeta_power_PO,maxDelta_freq_PO,maxDelta_power_PO,maxTheta_freq_PO,maxTheta_power_PO,maxthetaTOalpha_freq_PO,maxthetaTOalpha_power_PO,sex,sub,age,maxAlpha_freq_MF,maxAlpha_power_MF,maxBeta_freq_MF,maxBeta_power_MF,maxDelta_freq_MF,maxDelta_power_MF,maxTheta_freq_MF,maxTheta_power_MF,maxthetaTOalpha_freq_MF,maxthetaTOalpha_power_MF,sex,sub,sub_id_only,wave,PO_EO_slope,MF_EO_slope,PO_EO_yint,MF_EO_yint
46,5.287671233,,,19.813426873560413,0.4944885320750689,,,7.5862533004908626,0.32835469995723804,7.5862533004908626,0.32835469995723804,,1607_63,5.287671233,,,20.02603133034996,0.8958574133798667,,,7.327532866596174,0.17889529236987478,7.327532866596174,0.17889529236987478,,1607_63,1607,_63,1.336887894592656,1.295894390578424,-10.470889476272392,-10.487862341015356
47,3.0465753419999997,,,,,,,5.855728777823797,0.2793508122596968,5.855728777823797,0.2793508122596968,,1018_36,3.0465753419999997,,,,,,,,,,,,1018_36,1018,_36,1.1916100806045469,0.944498229861636,-10.428253621939113,-10.464354406025656
48,3.81369863,,,,,3.765625000000005,0.4408749183085128,,,,,,1013_45,3.81369863,,,,,,,4.888040112034472,0.3842433117042869,4.888040112034472,0.3842433117042869,,1013_45,1013,_45,0.9398123588975412,0.8900145160192866,-11.07436900314241,-10.983877008480857
49,5.259562842,,,36.51703721108074,0.1837571582571229,,,4.617599344421536,0.29107931433015644,4.617599344421536,0.29107931433015644,,1407_63,5.259562842,,,,,,,,,,,,1407_63,1407,_63,1.2031137766619862,1.3202229470119264,-10.603545252242364,-10.52151973838486
50,2.9452054789999997,,,,,,,,,,,,1020_36,2.9452054789999997,,,29.463999792793068,0.38770567350941576,,,,,,,,1020_36,1020,_36,1.277406218390044,1.566608764575839,-10.864303021485062,-10.767815259646232
51,5.942465753,,,21.818095200030946,0.14155371273445105,,,5.535852685169607,0.3188847082229618,5.535852685169607,0.3188847082229618,,1611_72,5.942465753,,,,,,,5.345430318824746,0.244962639651952,5.345430318824746,0.244962639651952,,1611_72,1611,_72,1.3396079578443858,1.2136878879329742,-10.400723048782286,-10.534229494178824
52,3.78630137,,,,,,,,,,,,1007_45,3.78630137,,,,,,,,,,,,1007_45,1007,_45,1.299657480933368,1.348220696953007,-10.670039195940543,-10.489405993766272
53,5.4,,,38.900688808720155,0.2466063503235336,,,,,,,,1403_63,5.4,,,,,3.765625,0.582570912937161,,,,,,1403_63,1403,_63,1.4864748956154026,0.7995758739371603,-10.46900601326176,-11.194603215765548
54,5.273972603,,,,,,,7.160507122565672,0.16099117375531868,7.160507122565672,0.16099117375531868,,1608_63,5.273972603,,,,,,,5.803594387356233,0.19677513518048784,5.803594387356233,0.19677513518048784,,1608_63,1608,_63,1.265831323722724,1.2200429386126357,-10.200887052973314,-10.27761252566958
55,3.052054795,,,34.68354006649964,0.22228123578043224,,,,,,,,1010_36,3.052054795,,,,,2.501186462627679,0.7203302302652705,,,,,,1010_36,1010,_36,1.6841423563918358,0.6925842002519239,-9.655419543520397,-11.23534799859649
